Ticker,Last Close,52W High,Date Hit
AAL,18.15,18.47,2026-07-01
AALG,20.74,21.41,2026-07-01
ABBV,251.06,255.99,2026-06-29
ABCL,7.6,8.42,2026-06-29
ABCS,33.81,33.81,2026-07-01
ABI,24.86,24.89,2026-06-29
ABNB,147.31,150.19,2026-06-29
ABNG,19.01,19.75,2026-06-29
ABSI,11.11,12.06,2026-06-29
ACHC,31.25,31.35,2026-07-01
ACHV,6.4,7.11,2026-07-01
ACMR,117.16,127.19,2026-06-30
ACNB,61.25,61.25,2026-07-01
ACRS,5.34,5.69,2026-07-01
ACT,45.39,46.0,2026-06-30
ADAG,4.78,4.85,2026-07-01
ADAM,9.28,9.59,2026-06-30
ADAMG,25.15,25.37,2026-06-29
ADAML,24.3,24.38,2026-07-01
ADAMM,24.95,24.98,2026-07-01
ADPT,22.37,22.54,2026-07-01
AEE,112.19,118.32,2026-06-26
AEP,135.05,139.33,2026-06-29
AFBI,22.6,22.6,2026-07-01
AFL,118.49,120.29,2026-06-29
AFSC,38.95,39.3,2026-06-30
AGNCL,24.78,24.91,2026-07-01
AGNCM,24.77,24.87,2026-07-01
AGNCN,25.28,25.38,2026-07-01
AGNCO,25.12,25.14,2026-07-01
AIP,43.81,50.26,2026-06-30
AIRR,129.36,135.05,2026-06-25
AIRT,25.35,28.69,2026-06-30
AIZ,274.14,276.06,2026-07-01
AKTS,30.89,34.19,2026-06-30
ALAB,430.86,499.48,2026-06-30
ALDF,10.72,10.72,2026-07-01
ALF,10.88,10.99,2026-06-29
ALGM,63.2,71.77,2026-06-30
ALGT,119.16,123.12,2026-07-01
ALHC,24.01,24.11,2026-07-01
ALIL,32.67,33.36,2026-06-25
ALIS,10.16,10.19,2026-06-30
ALKS,51.72,55.28,2026-06-26
ALL,243.12,243.75,2026-07-01
ALNT,98.63,104.65,2026-06-25
ALRS,31.56,31.86,2026-07-01
ALTO,5.98,6.11,2026-07-01
ALTY,12.36,12.44,2026-07-01
AMAL,47.04,47.89,2026-07-01
AMAT,650.91,739.67,2026-06-30
AMD,540.88,584.73,2026-06-30
AMDG,120.21,141.38,2026-06-30
AMDL,71.42,83.79,2026-06-30
AME,237.13,244.71,2026-06-25
AMLX,17.95,19.15,2026-06-30
AMRX,16.97,17.86,2026-06-26
AMUN,26.02,26.04,2026-06-26
