Ticker,Last Close,52W Low,Date Hit
AAPG,17.96,16.36,2026-06-26
ABTC,0.62,0.61,2026-07-01
ACTU,1.44,1.4,2026-07-01
ADGM,0.66,0.62,2026-06-26
AEMD,0.76,0.65,2026-07-01
AIFC,0.6,0.54,2026-06-26
AIIR,6.9,6.5,2026-06-25
AIRE,1.98,1.81,2026-06-26
ALBG,7.63,6.8,2026-06-29
AMDD,2.83,2.62,2026-06-30
ANTA,5.2,4.71,2026-06-30
ARAI,0.41,0.36,2026-06-25
ARAY,0.26,0.25,2026-06-30
ARKR,5.95,5.6,2026-06-26
ARTL,1.1,1.03,2026-06-29
ATOS,2.04,1.7,2026-06-25
ATXG,3.35,2.91,2026-06-30
AVAT,0.5,0.44,2026-07-01
AVAV,172.44,135.2,2026-06-25
AVXX,7.44,4.73,2026-06-25
BABX,14.43,12.7,2026-06-26
BBYY,9.69,9.48,2026-06-26
BCYC,4.21,3.92,2026-06-25
BDRX,3.0,2.45,2026-06-25
BEEP,1.39,1.29,2026-06-30
BGIN,1.83,1.75,2026-06-30
BGL,0.29,0.24,2026-06-29
BGMS,1.1,0.57,2026-06-26
BHFAL,15.6,15.13,2026-06-30
BHST,2.91,2.74,2026-06-25
BIDG,12.04,8.83,2026-06-26
BIOX,0.34,0.31,2026-06-26
BIS,13.61,13.47,2026-06-30
BIYA,0.54,0.28,2026-06-29
BJDX,1.2,1.05,2026-06-30
BLSG,1.99,1.51,2026-06-25
BMBL,3.23,2.54,2026-06-25
BMNG,10.23,8.39,2026-06-30
BMRA,1.8,1.73,2026-06-29
BNBX,0.37,0.32,2026-06-30
BON,1.2,1.1,2026-06-30
BRFH,1.95,1.92,2026-07-01
BRID,6.56,6.4,2026-06-25
BRLT,1.14,1.0,2026-07-01
BRR,1.51,1.31,2026-06-29
BRRR,16.9,16.37,2026-06-25
BSX,43.06,42.25,2026-06-30
BSY,31.28,28.08,2026-06-25
BTBD,1.08,1.03,2026-06-25
BTCS,1.12,0.98,2026-06-25
BTCT,0.95,0.61,2026-06-29
BTF,15.62,15.0,2026-06-25
BTGD,19.82,19.12,2026-06-30
BTOG,1.24,1.13,2026-06-30
BYAH,0.92,0.87,2026-07-01
BZ,13.48,12.57,2026-06-26
CAN,0.29,0.28,2026-07-01
CAPS,0.27,0.23,2026-06-25
CBAT,0.6,0.55,2026-06-29
CCI,76.53,74.33,2026-07-01
CCLD,2.27,2.07,2026-06-26
CCOI,14.28,12.33,2026-06-29
CDLX,4.44,4.32,2026-07-01
CDT,0.52,0.51,2026-06-30
CEG,236.5,228.63,2026-07-01
CELU,0.6,0.56,2026-06-30
CELZ,1.27,0.79,2026-06-29
CETX,2.8,2.71,2026-07-01
CG,42.33,39.6,2026-06-29
CHAI,0.71,0.63,2026-06-29
CIGI,96.34,88.24,2026-06-25
CMCT,3.4,3.01,2026-06-30
CME,231.0,218.31,2026-06-29
CMND,2.3,2.04,2026-06-29
CNTX,0.61,0.55,2026-06-25
CNXC,24.41,19.12,2026-06-30
COIG,4.93,3.82,2026-06-26
COIN,159.24,139.18,2026-06-26
CONL,5.02,3.88,2026-06-26
CONX,6.07,4.73,2026-06-26
COSM,0.2,0.16,2026-06-30
COYY,18.4,17.83,2026-06-30
CPOP,0.09,0.09,2026-07-01
CPRT,28.79,27.85,2026-06-30
CRCG,8.44,8.42,2026-07-01
CRIS,0.42,0.18,2026-06-25
CSGP,29.36,28.18,2026-06-30
CSPI,8.17,7.51,2026-06-30
CTSH,41.07,37.08,2026-06-30
CTSO,0.39,0.35,2026-06-29
CURX,0.27,0.26,2026-06-25
CWD,0.64,0.57,2026-06-26
CYCU,0.55,0.55,2026-07-01
CYN,1.32,1.1,2026-06-25
DAIC,1.85,1.58,2026-06-26
DCGO,0.55,0.45,2026-06-26
DCX,1.07,0.86,2026-06-25
DFDV,3.2,2.44,2026-06-25
DFDVW,0.35,0.22,2026-06-26
DFNS,0.16,0.16,2026-07-01
DGNX,1.28,0.85,2026-06-26
DH,0.8,0.62,2026-06-26
DIME,7.7,7.23,2026-06-26
DJT,8.02,6.96,2026-06-26
DLHC,5.3,5.12,2026-06-26
DOX,51.18,49.25,2026-06-25
DRIO,6.75,5.84,2026-06-25
DSACU,10.41,10.0,2026-06-30
DUO,0.7,0.59,2026-06-30
DVXC,23.85,22.31,2026-06-25
ECHX,10.78,9.36,2026-06-26
EDBL,0.16,0.16,2026-06-26
EH,6.72,5.97,2026-06-29
