Ticker,Sector,Last Close,52W High,% From High,RSI,Vol vs Avg,Date Hit
EA,Communication Services,205.21,206.0,-0.38,70.4,1.0,2026-07-02
LYV,Communication Services,186.59,187.64,-0.56,74.8,0.7,2026-07-01
ABNB,Consumer Discretionary,148.93,150.19,-0.84,72.8,0.9,2026-06-29
KO,Consumer Staples,84.14,84.14,0.0,60.0,0.7,2026-07-02
MNST,Consumer Staples,97.6,98.93,-1.34,72.5,0.9,2026-07-02
MO,Consumer Staples,72.71,74.15,-1.94,59.5,0.7,2026-06-29
VLO,Energy,267.76,274.92,-2.6,58.1,0.6,2026-07-02
AFL,Financials,120.88,120.88,0.0,62.4,0.6,2026-07-02
AIZ,Financials,279.48,279.5,-0.01,77.9,0.5,2026-07-02
ALL,Financials,250.33,250.38,-0.02,83.9,0.8,2026-07-02
BEN,Financials,34.11,34.55,-1.27,71.9,0.7,2026-07-02
CB,Financials,361.17,361.33,-0.04,77.9,0.9,2026-07-02
CFG,Financials,70.98,72.4,-1.96,71.6,1.0,2026-07-02
CINF,Financials,192.03,192.09,-0.03,89.4,0.8,2026-07-02
EG,Financials,371.35,372.36,-0.27,82.4,0.6,2026-07-02
FITB,Financials,57.16,58.15,-1.7,70.3,0.5,2026-07-01
GL,Financials,180.49,182.32,-1.0,93.6,0.7,2026-07-01
L,Financials,116.52,116.58,-0.05,80.7,0.4,2026-07-02
MET,Financials,90.06,90.06,0.0,56.7,0.8,2026-07-02
MTB,Financials,238.88,243.57,-1.93,64.6,0.6,2026-07-02
PNC,Financials,249.49,254.0,-1.78,69.0,0.4,2026-07-02
RF,Financials,30.28,31.04,-2.45,64.9,0.6,2026-07-02
TROW,Financials,118.55,118.64,-0.08,77.4,0.6,2026-07-02
TRV,Financials,342.31,342.31,0.0,88.6,0.5,2026-07-02
USB,Financials,61.73,62.38,-1.04,71.7,0.6,2026-07-02
V,Financials,362.13,362.13,0.0,86.2,0.8,2026-07-02
ABBV,Health Care,261.07,261.64,-0.22,77.1,0.6,2026-07-02
BIIB,Health Care,216.12,219.72,-1.64,66.8,0.9,2026-06-29
CAH,Health Care,238.94,240.84,-0.79,77.2,0.6,2026-07-02
CNC,Health Care,67.86,69.29,-2.06,61.4,0.7,2026-07-02
CRL,Health Care,230.69,236.62,-2.51,83.9,0.8,2026-07-01
CVS,Health Care,104.72,106.15,-1.35,64.9,0.6,2026-06-26
DGX,Health Care,215.72,217.41,-0.78,67.3,0.7,2026-07-02
DVA,Health Care,234.91,236.51,-0.68,90.9,0.8,2026-07-02
ELV,Health Care,417.89,427.07,-2.15,60.5,0.7,2026-07-02
EW,Health Care,94.37,94.47,-0.11,73.8,0.5,2026-07-02
HUM,Health Care,396.75,415.0,-4.4,65.0,0.9,2026-07-02
INCY,Health Care,116.86,118.69,-1.54,63.2,1.1,2026-07-02
JNJ,Health Care,263.04,263.09,-0.02,71.0,0.9,2026-07-02
LLY,Health Care,1213.91,1238.0,-1.95,60.4,0.7,2026-06-29
MRK,Health Care,129.56,130.29,-0.56,65.7,0.4,2026-06-30
MRNA,Health Care,79.76,81.4,-2.01,86.0,1.4,2026-07-02
UNH,Health Care,425.36,430.2,-1.13,64.0,0.5,2026-07-02
VRTX,Health Care,528.04,529.14,-0.21,90.0,1.0,2026-07-02
WST,Health Care,365.74,367.57,-0.5,82.7,0.7,2026-07-02
CAT,Industrials,963.53,1073.46,-10.24,57.1,0.9,2026-06-30
CSX,Industrials,48.89,49.21,-0.65,61.2,1.1,2026-07-02
DAL,Industrials,92.75,95.68,-3.06,83.3,0.6,2026-07-02
GD,Industrials,373.54,373.6,-0.02,61.5,0.9,2026-07-02
GE,Industrials,377.52,382.97,-1.42,91.0,0.5,2026-07-02
HON,Industrials,229.86,252.0,-8.79,61.5,0.8,2026-06-29
JBHT,Industrials,285.83,294.98,-3.1,47.2,0.7,2026-07-01
JCI,Industrials,140.76,151.18,-6.89,46.5,1.0,2026-07-01
MAS,Industrials,82.77,83.21,-0.53,78.7,0.7,2026-07-02
ROK,Industrials,471.7,497.36,-5.16,55.7,0.8,2026-06-30
SNA,Industrials,412.09,412.33,-0.06,71.8,1.1,2026-07-02
SWK,Industrials,91.9,95.16,-3.43,67.2,0.7,2026-07-01
UAL,Industrials,133.32,138.77,-3.93,78.6,0.7,2026-06-30
UNP,Industrials,282.25,282.8,-0.19,64.0,0.8,2026-07-02
AMAT,Information Technology,603.04,739.67,-18.47,54.9,1.1,2026-06-30
AMD,Information Technology,517.82,584.73,-11.44,54.6,0.9,2026-06-30
APH,Information Technology,164.59,178.52,-7.8,61.7,0.6,2026-06-30
CRWD,Information Technology,193.98,199.53,-2.78,75.8,0.6,2026-07-02
FFIV,Information Technology,408.14,427.54,-4.54,58.6,0.9,2026-06-30
FTNT,Information Technology,156.25,159.8,-2.22,65.4,0.7,2026-07-01
GLW,Information Technology,196.79,271.78,-27.59,54.9,1.1,2026-06-30
INTC,Information Technology,120.35,142.35,-15.45,51.9,0.9,2026-06-30
KLAC,Information Technology,235.55,307.37,-23.37,48.8,1.4,2026-06-30
LRCX,Information Technology,351.41,438.5,-19.86,48.3,1.3,2026-06-30
PANW,Information Technology,348.06,358.1,-2.8,84.3,1.0,2026-07-01
TER,Information Technology,369.09,487.91,-24.35,48.5,1.0,2026-06-30
APD,Materials,314.19,314.28,-0.03,76.4,0.8,2026-07-02
CTVA,Materials,85.8,85.95,-0.17,88.8,0.5,2026-07-01
IFF,Materials,83.83,83.83,0.0,70.0,0.8,2026-07-02
LIN,Materials,546.64,547.22,-0.11,68.3,0.8,2026-07-02
AAL,Other,17.92,18.79,-4.63,87.9,0.9,2026-07-02
AALG,Other,20.11,22.07,-8.88,86.1,0.6,2026-07-02
ABCL,Other,8.11,8.42,-3.68,81.6,1.1,2026-06-29
ABCS,Other,34.1,34.1,0.0,75.0,1.0,2026-07-02
ABI,Other,24.9,24.9,0.0,66.0,0.1,2026-07-02
ABNG,Other,19.48,19.75,-1.37,71.6,1.4,2026-06-29
ABSI,Other,11.62,12.06,-3.65,79.7,0.6,2026-06-29
ACHC,Other,31.91,32.81,-2.74,79.4,1.2,2026-07-02
ACHV,Other,6.4,7.11,-9.99,65.6,0.6,2026-07-01
ACIW,Other,54.88,54.95,-0.13,81.7,1.1,2026-07-02
ACMR,Other,97.77,127.19,-23.13,53.1,1.5,2026-06-30
ACNB,Other,60.25,61.72,-2.38,64.1,0.8,2026-07-02
ACRS,Other,5.56,5.69,-2.28,87.4,0.9,2026-07-01
ACT,Other,45.34,46.0,-1.43,79.2,0.7,2026-06-30
ADAG,Other,4.47,4.85,-7.84,69.3,0.3,2026-07-01
ADAM,Other,9.14,9.59,-4.69,57.2,0.6,2026-06-30
ADAMG,Other,25.15,25.37,-0.87,71.6,0.2,2026-06-29
ADAML,Other,24.3,24.38,-0.33,75.9,0.5,2026-07-01
ADAMM,Other,24.81,25.0,-0.76,60.2,0.9,2026-07-02
ADAMN,Other,23.86,23.86,0.0,64.6,0.5,2026-07-02
ADPT,Other,21.19,22.8,-7.06,63.2,0.8,2026-07-02
AFBI,Other,22.58,22.6,-0.09,61.7,2.6,2026-07-02
AFSC,Other,38.4,39.3,-2.29,63.3,0.9,2026-06-30
AGNCL,Other,24.85,24.94,-0.36,63.1,0.7,2026-07-02
AGNCM,Other,24.75,24.87,-0.48,61.6,1.2,2026-07-01
AGNCN,Other,25.38,25.38,0.0,53.4,0.7,2026-07-02
AGNCO,Other,25.17,25.17,0.0,59.6,0.7,2026-07-02
AIP,Other,35.06,50.26,-30.24,46.9,1.5,2026-06-30
AIRT,Other,28.87,28.87,0.0,72.8,2.6,2026-07-02
ALAB,Other,406.42,499.48,-18.63,55.6,1.1,2026-06-30
ALDF,Other,10.72,10.72,0.0,64.3,0.0,2026-07-02
ALF,Other,10.89,10.99,-0.91,68.1,0.0,2026-06-29
ALGM,Other,55.49,71.77,-22.68,56.7,1.3,2026-06-30
ALGT,Other,118.67,123.63,-4.01,93.5,0.8,2026-07-02
ALHC,Other,23.8,24.3,-2.06,79.2,0.7,2026-07-02
ALIS,Other,10.18,10.25,-0.68,66.7,3.2,2026-07-02
ALKS,Other,54.58,55.28,-1.27,76.5,0.6,2026-06-26
ALRS,Other,31.11,31.86,-2.35,69.0,0.8,2026-07-01
ALTO,Other,5.56,6.11,-9.0,48.5,0.9,2026-07-01
ALTY,Other,12.39,12.44,-0.4,60.1,2.1,2026-07-01
AMAL,Other,46.04,47.89,-3.86,60.1,0.7,2026-07-01
AMDG,Other,109.69,141.38,-22.41,52.5,1.1,2026-06-30
AMDL,Other,65.15,83.79,-22.25,52.7,0.7,2026-06-30
AMLX,Other,18.27,19.15,-4.6,85.5,0.7,2026-06-30
AMRX,Other,17.15,17.86,-3.98,67.7,0.6,2026-06-26
AMUN,Other,26.02,26.04,-0.08,72.5,0.2,2026-07-02
AMUU,Other,230.5,293.65,-21.51,53.2,0.8,2026-06-30
AMYY,Other,15.5,15.7,-1.27,70.3,1.2,2026-06-30
ANGL,Other,29.16,29.18,-0.07,71.2,2.3,2026-07-02
AOUT,Other,13.37,13.78,-2.98,67.8,0.8,2026-06-29
APAC,Other,10.12,10.18,-0.59,53.3,0.3,2026-06-30
APGE,Other,132.91,133.85,-0.7,91.3,0.5,2026-07-02
APOG,Other,40.57,50.88,-20.26,51.8,0.8,2026-06-26
APPS,Other,12.71,13.6,-6.54,68.4,0.9,2026-07-02
APXT,Other,10.08,10.1,-0.2,68.2,0.1,2026-07-01
ARGX,Other,939.68,953.58,-1.46,58.1,0.9,2026-07-02
AROW,Other,41.29,42.44,-2.71,69.4,0.8,2026-07-02
ARTNA,Other,34.39,34.82,-1.23,73.9,1.0,2026-07-02
ASMG,Other,51.02,65.82,-22.49,42.1,1.0,2026-06-30
ASML,Other,1769.32,1999.96,-11.53,43.4,1.1,2026-06-30
ASND,Other,274.5,274.89,-0.14,93.2,0.6,2026-07-02
ASTH,Other,49.17,51.59,-4.69,83.3,1.3,2026-07-02
ATEX,Other,105.14,111.9,-6.04,73.0,1.0,2026-07-02
ATLC,Other,96.4,112.61,-14.39,56.8,1.1,2026-06-26
ATLCL,Other,25.25,25.25,0.0,56.2,0.8,2026-07-02
ATLCZ,Other,25.2,25.26,-0.24,62.3,1.2,2026-07-01
AUBN,Other,27.63,28.88,-4.33,70.2,0.3,2026-06-26
AVBH,Other,32.96,34.17,-3.54,62.0,0.5,2026-07-02
AVBP,Other,34.67,35.83,-3.24,75.2,0.8,2026-06-26
AVGB,Other,51.2,51.25,-0.1,60.6,2.0,2026-06-29
AXGN,Other,45.89,46.95,-2.26,62.8,1.5,2026-07-01
BACC,Other,10.86,11.0,-1.27,81.4,0.6,2026-07-01
BAFE,Other,29.32,29.48,-0.54,61.0,0.2,2026-07-02
BALQ,Other,55.22,58.0,-4.79,49.2,0.6,2026-07-01
BANFP,Other,26.59,26.63,-0.15,69.2,0.0,2026-06-29
BATRA,Other,57.61,57.83,-0.38,65.5,1.3,2026-07-01
BATRK,Other,52.77,53.25,-0.9,57.4,0.5,2026-07-01
BBCP,Other,11.11,12.19,-8.86,49.5,0.4,2026-07-02
BBGI,Other,25.35,29.3,-13.48,54.7,0.9,2026-06-29
BBH,Other,211.34,211.34,0.0,94.5,1.4,2026-07-02
BCAL,Other,20.86,21.5,-2.98,70.0,0.6,2026-07-02
BCAX,Other,29.0,29.9,-3.01,90.5,0.9,2026-07-01
BCML,Other,33.46,34.42,-2.79,64.1,0.5,2026-07-02
BDSX,Other,21.99,24.92,-11.76,71.8,0.7,2026-07-01
BEDY,Other,29.11,29.73,-2.09,62.6,0.4,2026-06-30
BELFA,Other,230.16,293.51,-21.58,39.0,0.5,2026-06-30
BELFB,Other,266.94,335.29,-20.39,41.0,1.5,2026-06-30
BFC,Other,151.8,154.29,-1.61,66.8,0.6,2026-07-01
BFST,Other,30.64,31.57,-2.95,66.0,0.9,2026-07-02
BHRB,Other,70.15,73.69,-4.8,63.9,0.6,2026-07-02
BIB,Other,106.84,106.9,-0.06,97.6,1.5,2026-07-02
BIOA,Other,25.1,25.8,-2.71,87.8,0.6,2026-06-29
BIXI,Other,10.02,10.02,0.0,79.4,3.7,2026-07-02
BJRI,Other,58.75,62.07,-5.35,70.4,0.6,2026-07-01
BLFS,Other,28.11,30.0,-6.3,58.5,0.6,2026-06-29
BLZE,Other,15.62,16.59,-5.85,90.7,0.6,2026-07-01
BMRC,Other,28.43,30.34,-6.3,70.5,0.8,2026-07-02
BOF,Other,4.78,5.25,-8.95,71.6,0.7,2026-07-01
BOKF,Other,139.29,142.0,-1.91,65.5,0.7,2026-07-02
BPOP,Other,167.26,169.6,-1.38,68.0,0.6,2026-07-02
BPRN,Other,38.98,39.25,-0.69,65.1,0.8,2026-07-02
BSCQ,Other,19.53,19.54,-0.05,78.6,0.8,2026-07-02
BSCR,Other,19.62,19.63,-0.05,67.7,1.0,2026-07-02
BSCS,Other,20.39,20.39,0.0,58.7,0.8,2026-07-02
BSET,Other,20.23,20.99,-3.62,88.4,2.3,2026-07-02
BSJR,Other,22.36,22.38,-0.09,59.0,0.7,2026-07-02
BSJU,Other,25.86,25.87,-0.04,68.1,1.3,2026-07-02
BSMQ,Other,23.55,23.62,-0.3,53.5,0.7,2026-07-01
BSMS,Other,23.48,23.51,-0.13,64.2,1.6,2026-07-02
BSMZ,Other,25.65,25.73,-0.31,64.6,0.4,2026-06-29
BSRR,Other,41.09,41.96,-2.07,56.8,0.7,2026-07-02
BSVN,Other,49.59,50.58,-1.96,74.1,1.3,2026-07-01
BSVO,Other,28.83,29.45,-2.11,54.2,0.5,2026-07-01
BTSG,Other,69.03,70.9,-2.64,80.5,0.5,2026-07-02
BUFC,Other,42.53,42.62,-0.21,61.7,0.7,2026-07-01
BUG,Other,39.33,39.78,-1.13,82.1,0.9,2026-07-02
BULD,Other,35.42,38.5,-8.0,51.0,2.1,2026-06-30
BUSE,Other,29.65,30.51,-2.82,62.9,0.8,2026-07-02
BUUU,Other,21.8,27.45,-20.58,66.5,1.5,2026-07-02
BVFL,Other,21.64,22.17,-2.39,73.1,0.4,2026-06-26
BWB,Other,21.46,21.84,-1.74,70.6,0.5,2026-07-02
BWFG,Other,58.6,60.5,-3.14,66.2,1.3,2026-07-02
CAC,Other,54.58,56.22,-2.92,66.0,0.7,2026-07-02
CACC,Other,657.12,666.23,-1.37,89.1,0.8,2026-07-02
CADL,Other,9.83,11.36,-13.47,70.6,0.7,2026-06-30
CAFG,Other,33.57,34.33,-2.21,70.4,6.4,2026-07-01
