Ticker,Sector,Last Close,52W Low,% From Low,RSI,Vol vs Avg,Date Hit
T,Communication Services,20.58,19.89,3.47,30.1,1.6,2026-07-02
TMUS,Communication Services,177.52,165.66,7.16,41.3,0.8,2026-06-30
NKE,Consumer Discretionary,44.09,40.0,10.23,42.2,1.0,2026-06-26
ULTA,Consumer Discretionary,461.33,443.6,4.0,44.2,0.6,2026-06-30
KR,Consumer Staples,58.22,54.15,7.52,33.6,0.6,2026-07-01
CME,Financials,236.6,218.31,8.38,33.2,1.1,2026-06-29
COIN,Financials,165.48,139.18,18.9,53.4,1.1,2026-06-26
ICE,Financials,132.99,121.79,9.2,42.1,0.7,2026-06-29
NDAQ,Financials,84.66,76.55,10.59,47.0,0.9,2026-06-30
BSX,Health Care,45.14,42.25,6.84,40.4,1.2,2026-06-30
ZTS,Health Care,74.8,71.47,4.66,34.1,0.4,2026-06-30
CPRT,Industrials,30.01,27.85,7.76,44.8,1.1,2026-06-30
LDOS,Industrials,108.84,98.86,10.1,32.1,1.1,2026-06-30
ROL,Industrials,43.38,41.5,4.53,28.7,0.9,2026-06-30
CTSH,Information Technology,41.99,37.08,13.24,28.0,0.7,2026-06-30
AAPG,Other,18.5,16.36,13.08,68.7,0.7,2026-06-26
ABTC,Other,0.56,0.56,0.0,13.4,4.7,2026-07-02
ACTU,Other,1.52,1.4,8.57,23.6,0.9,2026-07-01
ADGM,Other,0.64,0.62,3.23,23.1,2.1,2026-06-26
AEMD,Other,0.71,0.65,9.23,8.4,0.4,2026-07-01
AIFC,Other,0.6,0.54,11.11,42.3,0.7,2026-06-26
AIRE,Other,1.88,1.81,3.87,42.6,0.6,2026-06-26
ALPS,Other,0.59,0.56,5.36,27.6,1.2,2026-07-02
ANTA,Other,5.39,4.71,14.44,35.7,1.5,2026-06-30
ARAY,Other,0.25,0.25,0.0,27.0,1.1,2026-06-30
ARKR,Other,5.85,5.6,4.46,43.6,1.0,2026-06-26
ARTL,Other,1.11,1.03,7.77,24.4,0.4,2026-06-29
ATXG,Other,3.53,2.91,21.31,34.5,0.2,2026-06-30
AVAT,Other,0.52,0.44,18.18,12.6,1.4,2026-07-01
BEEP,Other,1.5,1.29,16.28,36.8,0.5,2026-06-30
BGIN,Other,1.97,1.75,12.57,28.5,0.8,2026-06-30
BGL,Other,0.26,0.24,8.33,20.5,0.3,2026-06-29
BGMS,Other,1.06,0.57,85.96,57.9,0.0,2026-06-26
BHFAL,Other,15.64,15.13,3.37,32.3,1.2,2026-06-30
BIOX,Other,0.33,0.31,6.45,23.0,0.5,2026-06-26
BIYA,Other,0.63,0.28,125.0,33.3,0.5,2026-06-29
BJDX,Other,1.14,1.03,10.68,11.0,0.7,2026-07-02
BMRA,Other,1.75,1.73,1.16,24.2,0.7,2026-06-29
BNBX,Other,0.36,0.32,12.5,32.3,0.4,2026-06-30
BON,Other,1.18,1.1,7.27,21.1,0.5,2026-06-30
BRFH,Other,1.95,1.92,1.56,28.8,0.1,2026-07-01
BRLT,Other,1.14,1.0,14.0,42.3,0.4,2026-07-01
BRR,Other,1.65,1.31,25.95,46.7,1.2,2026-06-29
BTCT,Other,1.06,0.61,73.77,40.2,0.5,2026-06-29
BTOG,Other,1.28,1.13,13.27,28.1,0.7,2026-06-30
BYAH,Other,0.84,0.82,2.44,43.0,0.0,2026-07-02
BZ,Other,13.0,12.57,3.42,43.0,0.6,2026-06-26
CBAT,Other,0.61,0.55,10.91,32.4,1.0,2026-06-29
CCLD,Other,2.22,2.07,7.25,43.2,1.0,2026-06-26
CCOI,Other,12.99,12.33,5.35,38.8,1.6,2026-06-29
CDLX,Other,4.47,4.26,4.93,36.2,0.6,2026-07-02
CDT,Other,0.49,0.47,4.26,44.1,0.0,2026-07-02
CELU,Other,0.62,0.56,10.71,36.5,0.4,2026-06-30
CELZ,Other,1.21,0.79,53.16,33.9,0.2,2026-06-29
