Ticker,Sector,Last Close,52W Low,% From Low,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
T,Communication Services,20.58,19.89,3.47,30.1,1.8,2026-07-02,,,,,,,N,N,0
TMUS,Communication Services,177.52,165.66,7.16,41.3,1.1,2026-06-30,,,,,,,N,N,0
NKE,Consumer Discretionary,44.09,40.0,10.23,42.2,1.2,2026-06-26,21.0,4.4,1.96,0.742,372.0,2.1,N,N,3
ULTA,Consumer Discretionary,461.33,443.6,4.0,44.2,0.7,2026-06-30,,,,,,,N,N,0
KR,Consumer Staples,58.22,54.15,7.52,33.6,0.6,2026-07-01,34.0,6.29,0.79,3.734,247.0,1.71,N,N,2
CME,Financials,236.6,218.31,8.38,33.2,1.1,2026-06-29,20.2,3.22,1.02,0.141,220.0,11.71,N,N,3
COIN,Financials,165.48,139.18,18.9,53.4,1.1,2026-06-26,61.1,3.23,2.14,0.591,,2.71,N,N,3
ICE,Financials,132.99,121.79,9.2,42.1,0.9,2026-06-29,19.3,2.55,1.01,0.71,156.0,6.88,N,N,3
NDAQ,Financials,84.66,76.55,10.59,47.0,0.9,2026-06-30,25.5,3.97,1.0,0.791,132.0,3.32,N,N,3
BSX,Health Care,45.14,42.25,6.84,40.4,1.2,2026-06-30,18.9,2.59,1.9,0.422,,2.39,N,N,2
ZTS,Health Care,74.8,71.47,4.66,34.1,0.6,2026-06-30,,,,,,,N,N,0
CPRT,Industrials,30.01,27.85,7.76,44.8,1.1,2026-06-30,18.6,3.17,7.61,0.011,,1.61,N,N,3
LDOS,Industrials,108.84,98.86,10.1,32.1,1.2,2026-06-30,10.0,2.73,1.4,1.371,158.0,10.93,N,N,3
ROL,Industrials,43.38,41.5,4.53,28.7,0.9,2026-06-30,,,,,,,N,N,0
CTSH,Information Technology,41.99,37.08,13.24,28.0,0.7,2026-06-30,9.1,1.32,2.23,0.072,314.0,4.61,Y,N,6
AAPG,Other,18.5,16.36,13.08,68.7,0.7,2026-06-26,,,,,,,N,N,0
ABTC,Other,0.56,0.56,0.0,13.4,4.7,2026-07-02,,,,,,,N,N,0
ACTU,Other,1.52,1.4,8.57,23.6,0.9,2026-07-01,,,,,,,N,N,0
