Signal,Ticker,Sector,Last Close,52W Extreme,% From Extreme,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
NEW_HIGH,EA,Communication Services,206.41,206.63,-0.11,82.5,0.6,2026-07-10,58.8,7.65,1.05,0.274,37.0,3.51,N,N,3
NEW_HIGH,LYV,Communication Services,179.79,188.0,-4.37,64.5,0.6,2026-07-06,,-297.67,0.89,7.383,,-1.76,N,N,1
NEW_HIGH,TTWO,Communication Services,243.2,265.94,-8.55,54.0,0.7,2026-07-07,,12.84,1.24,0.843,,-1.63,N,N,1
NEW_HIGH,BBY,Consumer Discretionary,82.8,83.14,-0.41,74.9,0.9,2026-07-10,,,,,,,N,N,0
NEW_HIGH,YUM,Consumer Discretionary,163.54,170.14,-3.88,70.6,0.7,2026-07-07,26.2,-6.18,0.65,,183.0,6.25,N,N,3
NEW_HIGH,KO,Consumer Staples,83.49,85.68,-2.56,66.5,0.5,2026-07-07,26.3,10.68,1.36,1.249,254.0,3.18,N,N,2
NEW_HIGH,MNST,Consumer Staples,97.39,99.15,-1.78,71.6,0.6,2026-07-07,47.0,10.91,3.26,0.011,,2.07,N,N,3
NEW_HIGH,MPC,Energy,283.74,287.15,-1.19,85.6,0.8,2026-07-10,18.7,4.96,1.18,1.465,138.0,15.21,N,N,2
NEW_HIGH,PSX,Energy,188.36,193.04,-2.42,78.7,0.9,2026-07-10,18.6,2.65,1.13,0.914,268.0,10.11,N,N,3
NEW_HIGH,VLO,Energy,280.69,287.05,-2.22,79.7,0.6,2026-07-10,20.5,3.49,1.58,0.427,171.0,13.7,N,N,3
NEW_HIGH,ACGL,Financials,101.06,105.09,-3.83,78.4,0.6,2026-07-07,,,,,,,N,N,0
NEW_HIGH,AFL,Financials,121.91,122.8,-0.72,70.9,0.5,2026-07-07,,,,,,,N,N,0
NEW_HIGH,AIZ,Financials,278.89,284.12,-1.84,78.6,1.0,2026-07-07,,,,,,,N,N,0
NEW_HIGH,ALL,Financials,251.61,257.67,-2.35,80.0,0.5,2026-07-07,,,,,,,N,N,0
NEW_HIGH,BAC,Financials,59.67,60.83,-1.91,68.4,0.6,2026-07-07,,,,,,,N,N,0
NEW_HIGH,BEN,Financials,33.5,34.92,-4.07,56.6,0.9,2026-07-07,,,,,,,N,N,0
NEW_HIGH,BNY,Financials,151.92,155.08,-2.04,66.1,0.6,2026-07-09,18.8,2.64,,,140.0,,N,N,1
NEW_HIGH,CB,Financials,347.83,365.29,-4.78,67.3,1.0,2026-07-07,12.3,1.83,0.39,0.315,117.0,28.28,N,N,4
NEW_HIGH,CFG,Financials,70.34,72.94,-3.56,62.3,0.7,2026-07-07,16.7,1.25,,,262.0,4.22,N,N,3
NEW_HIGH,CINF,Financials,179.28,194.81,-7.97,60.7,1.0,2026-07-07,10.2,1.76,1.04,0.056,210.0,17.5,N,N,4
NEW_HIGH,EG,Financials,370.58,379.22,-2.28,83.1,0.5,2026-07-07,7.5,0.96,0.38,0.235,216.0,49.1,N,N,5
NEW_HIGH,FITB,Financials,57.07,58.52,-2.48,73.7,0.6,2026-07-07,19.2,1.62,,,283.0,2.97,N,N,2
NEW_HIGH,L,Financials,114.99,119.1,-3.45,75.6,0.6,2026-07-07,14.6,1.27,0.5,0.456,22.0,7.87,N,N,5
NEW_HIGH,MET,Financials,91.65,92.49,-0.91,66.1,0.5,2026-07-10,17.6,2.17,2.09,1.78,259.0,5.2,N,N,3
NEW_HIGH,NTRS,Financials,183.55,185.57,-1.09,72.5,0.8,2026-07-09,19.2,2.81,,,174.0,9.54,N,N,2
NEW_HIGH,PFG,Financials,112.23,113.86,-1.43,56.0,0.7,2026-07-07,16.1,2.06,1.53,0.336,292.0,6.97,N,N,3
NEW_HIGH,PNC,Financials,251.91,256.0,-1.6,74.4,1.2,2026-07-07,14.6,1.75,,,318.0,17.28,N,N,3
NEW_HIGH,PRU,Financials,115.37,116.7,-1.14,70.6,0.7,2026-07-09,11.9,1.25,0.81,1.59,485.0,9.71,N,N,4
NEW_HIGH,RF,Financials,31.02,31.19,-0.55,73.4,1.1,2026-07-10,12.9,1.52,,,347.0,2.41,N,N,3
NEW_HIGH,STT,Financials,180.22,183.32,-1.69,70.3,0.8,2026-07-09,18.3,2.07,,,186.0,9.86,N,N,2
NEW_HIGH,TROW,Financials,118.55,121.17,-2.16,72.6,0.7,2026-07-07,12.6,2.36,5.54,0.039,444.0,9.44,N,N,5
NEW_HIGH,TRV,Financials,338.92,349.35,-2.99,76.7,0.5,2026-07-07,10.1,2.25,0.34,0.29,148.0,33.52,N,N,4
NEW_HIGH,USB,Financials,62.41,63.39,-1.55,73.1,0.7,2026-07-07,13.1,1.66,,,336.0,4.77,N,N,3
NEW_HIGH,V,Financials,348.97,365.02,-4.4,69.5,0.5,2026-07-06,30.4,18.72,1.09,0.672,77.0,11.48,N,N,3
NEW_HIGH,CAH,Health Care,235.8,243.21,-3.05,72.2,1.1,2026-07-07,35.9,-19.57,0.91,,87.0,6.56,N,N,3
NEW_HIGH,CRL,Health Care,233.41,237.86,-1.87,84.3,1.0,2026-07-10,,3.82,1.36,1.026,,-3.71,N,N,0
NEW_HIGH,DGX,Health Care,207.44,218.31,-4.98,70.1,0.7,2026-07-07,22.9,3.13,1.18,0.827,166.0,9.04,N,N,3
NEW_HIGH,DVA,Health Care,232.8,239.64,-2.85,83.3,0.9,2026-07-07,22.4,-20.39,1.42,12.613,,10.38,N,N,2
NEW_HIGH,ELV,Health Care,416.23,427.64,-2.67,63.8,0.5,2026-07-09,17.6,2.06,1.48,0.723,165.0,23.6,N,N,3
NEW_HIGH,EW,Health Care,92.21,96.29,-4.24,64.3,0.7,2026-07-07,49.8,5.15,4.42,0.068,,1.85,N,N,3
NEW_HIGH,INCY,Health Care,116.71,118.97,-1.9,80.2,0.8,2026-07-09,16.5,4.15,3.68,0.007,,7.08,N,N,3
NEW_HIGH,JNJ,Health Care,256.98,269.43,-4.62,71.8,0.7,2026-07-07,30.0,7.62,1.02,0.677,207.0,8.56,N,N,3
NEW_HIGH,LLY,Health Care,1188.58,1249.45,-4.87,65.5,0.6,2026-07-07,42.2,34.04,1.5,1.39,57.0,28.17,N,N,2
NEW_HIGH,MRNA,Health Care,68.27,85.6,-20.25,54.4,0.9,2026-07-06,,3.66,2.41,0.175,,-8.14,N,N,2
NEW_HIGH,UNH,Health Care,424.62,434.3,-2.23,62.9,0.6,2026-07-09,32.5,3.94,0.8,0.74,215.0,13.08,N,N,3
NEW_HIGH,VRTX,Health Care,485.39,533.67,-9.05,63.2,0.7,2026-07-07,28.8,6.37,3.02,0.103,,16.84,N,N,3
NEW_HIGH,CSX,Industrials,49.41,49.67,-0.52,82.7,0.6,2026-07-10,30.3,6.76,0.97,1.431,113.0,1.63,N,N,2
NEW_HIGH,EXPD,Industrials,172.02,172.18,-0.09,71.3,1.0,2026-07-10,27.8,9.94,1.79,0.247,94.0,6.19,N,N,3
NEW_HIGH,FTV,Industrials,62.2,64.33,-3.31,55.6,0.6,2026-07-06,35.7,3.12,0.71,0.588,39.0,1.74,N,N,3
NEW_HIGH,GD,Industrials,375.06,380.71,-1.48,73.3,0.7,2026-07-07,23.6,3.88,1.38,0.377,170.0,15.9,N,N,3
NEW_HIGH,GEV,Industrials,1091.57,1195.94,-8.73,48.3,0.5,2026-07-06,31.4,21.07,0.89,0.249,18.0,34.71,N,N,3
NEW_HIGH,NSC,Industrials,327.47,328.58,-0.34,82.8,0.6,2026-07-10,27.6,4.65,0.91,1.116,165.0,11.85,N,N,2
NEW_HIGH,SNA,Industrials,401.94,414.62,-3.06,62.4,0.5,2026-07-06,20.8,3.49,3.53,0.217,243.0,19.37,N,N,4
NEW_HIGH,UNP,Industrials,286.96,288.9,-0.67,89.1,0.7,2026-07-10,23.6,8.77,0.92,1.622,194.0,12.14,N,N,2
NEW_HIGH,ANET,Information Technology,186.96,189.82,-1.51,59.4,0.7,2026-07-09,,,,,,,N,N,0
NEW_HIGH,CRWD,Information Technology,187.18,209.5,-10.65,62.6,0.8,2026-07-06,,41.13,1.53,0.176,,-0.04,N,N,1
NEW_HIGH,FFIV,Information Technology,430.39,432.74,-0.54,73.9,0.6,2026-07-10,35.3,6.69,1.61,0.071,,12.18,N,N,2
NEW_HIGH,FTNT,Information Technology,157.51,165.28,-4.7,62.5,0.6,2026-07-10,63.3,116.85,1.15,0.573,,2.49,N,N,2
NEW_HIGH,PANW,Information Technology,325.91,368.17,-11.48,62.0,0.6,2026-07-06,293.6,9.58,0.86,0.077,,1.11,N,N,2
NEW_HIGH,APD,Materials,299.53,314.87,-4.87,62.6,0.8,2026-07-06,,,,,,,N,N,0
NEW_HIGH,CTVA,Materials,85.68,87.69,-2.29,73.4,0.5,2026-07-07,46.3,2.36,1.47,0.136,84.0,1.85,N,N,3
NEW_HIGH,LIN,Materials,529.79,548.2,-3.36,59.7,0.8,2026-07-07,35.1,6.35,0.83,0.656,121.0,15.1,N,N,3
NEW_HIGH,ABCL,Other,6.8,8.44,-19.43,61.5,0.9,2026-07-07,,,,,,,N,N,0
NEW_HIGH,ABUS,Other,4.8,5.38,-10.78,58.2,1.0,2026-07-09,,,,,,,N,N,0
