Signal,Ticker,Sector,Last Close,52W Extreme,% From Extreme,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
NEW_HIGH,EA,Communication Services,209.86,209.93,-0.03,88.2,1.9,2026-07-31,60.0,7.78,1.05,0.274,36.0,3.5,N,N,3
NEW_HIGH,OMC,Communication Services,78.7,87.41,-9.96,43.4,1.3,2026-07-28,212.7,2.05,0.92,1.077,407.0,0.37,N,N,2
NEW_HIGH,ABNB,Consumer Discretionary,151.52,156.5,-3.18,58.7,0.7,2026-07-29,37.4,11.81,1.44,0.332,,4.05,N,N,2
NEW_HIGH,BBY,Consumer Discretionary,86.26,91.27,-5.49,62.5,1.1,2026-07-29,16.0,5.9,1.12,1.341,445.0,5.4,N,N,2
NEW_HIGH,EXPE,Consumer Discretionary,294.74,312.4,-5.65,68.5,0.8,2026-07-29,26.0,61.4,0.73,2.565,60.0,11.32,N,N,2
NEW_HIGH,GM,Consumer Discretionary,88.86,91.85,-3.26,76.7,0.9,2026-07-29,39.7,1.26,1.14,2.023,81.0,2.24,N,N,3
NEW_HIGH,GRMN,Consumer Discretionary,293.78,304.0,-3.36,77.0,1.1,2026-07-29,30.3,6.28,3.03,0.025,143.0,9.69,N,N,4
NEW_HIGH,ROST,Consumer Discretionary,251.07,255.3,-1.66,84.2,0.7,2026-07-29,35.1,12.78,1.54,0.749,71.0,7.16,N,N,3
NEW_HIGH,KHC,Consumer Staples,25.85,28.09,-7.97,54.7,1.0,2026-07-29,,0.73,1.2,0.503,619.0,-4.76,N,N,3
NEW_HIGH,KO,Consumer Staples,87.59,90.92,-3.66,58.8,0.8,2026-07-29,26.3,10.43,1.3,1.155,242.0,3.33,N,N,2
NEW_HIGH,MO,Consumer Staples,68.33,77.06,-11.33,40.8,1.4,2026-07-28,14.4,-35.55,0.52,,621.0,4.75,N,N,4
NEW_HIGH,PM,Consumer Staples,190.82,207.76,-8.15,59.8,1.1,2026-07-28,26.2,-32.05,0.98,,308.0,7.29,N,N,3
NEW_HIGH,SJM,Consumer Staples,119.26,127.65,-6.57,62.5,1.2,2026-07-29,,2.29,0.78,1.286,376.0,-1.3,N,N,1
NEW_HIGH,TGT,Consumer Staples,144.49,147.77,-2.22,69.0,0.9,2026-07-29,19.1,4.0,0.93,1.175,321.0,7.57,N,N,2
NEW_HIGH,ACGL,Financials,100.53,107.09,-6.13,44.9,0.9,2026-07-28,7.9,1.47,0.57,0.178,,12.78,N,N,4
NEW_HIGH,AFL,Financials,127.48,130.22,-2.1,63.6,1.1,2026-07-29,14.6,2.17,0.94,0.483,191.0,8.75,N,N,4
NEW_HIGH,AIZ,Financials,279.19,284.64,-1.91,48.9,1.5,2026-07-29,14.3,2.36,0.39,0.376,126.0,19.52,N,N,4
NEW_HIGH,ALL,Financials,264.08,277.22,-4.74,55.8,0.8,2026-07-29,5.8,2.3,0.36,0.237,164.0,45.21,N,N,4
NEW_HIGH,AMP,Financials,545.84,553.46,-1.38,69.5,0.8,2026-07-28,13.6,7.58,8.78,0.632,125.0,40.12,N,N,5
NEW_HIGH,AON,Financials,360.55,382.34,-5.7,46.3,1.0,2026-07-28,19.9,7.96,1.03,1.635,91.0,18.14,N,N,2
NEW_HIGH,BAC,Financials,61.95,62.99,-1.65,64.3,0.8,2026-07-27,14.3,1.57,,,207.0,4.33,N,N,3
NEW_HIGH,CB,Financials,350.68,365.91,-4.16,47.5,0.7,2026-07-29,12.4,1.79,0.41,0.309,116.0,28.23,N,N,4
NEW_HIGH,CPAY,Financials,382.11,395.49,-3.38,61.7,1.1,2026-07-29,22.9,7.2,0.98,2.713,,16.7,N,N,1
NEW_HIGH,EG,Financials,374.15,401.07,-6.71,48.0,1.2,2026-07-28,7.9,0.94,0.39,0.233,214.0,47.33,N,N,5
NEW_HIGH,HIG,Financials,141.91,146.07,-2.85,52.0,0.7,2026-07-30,9.9,2.0,1.77,0.223,169.0,14.36,N,N,4
NEW_HIGH,JPM,Financials,351.79,359.3,-2.09,64.7,0.7,2026-07-28,15.1,2.64,,,171.0,23.32,N,N,2
NEW_HIGH,L,Financials,116.01,121.01,-4.13,48.3,1.0,2026-07-28,14.7,1.28,0.5,0.456,22.0,7.87,N,N,5
NEW_HIGH,MET,Financials,96.13,97.8,-1.71,63.8,1.5,2026-07-29,18.6,2.27,2.09,1.78,247.0,5.17,N,N,3
NEW_HIGH,PFG,Financials,113.7,114.95,-1.09,50.3,1.8,2026-07-29,16.2,2.08,1.59,0.353,296.0,7.02,N,N,3
NEW_HIGH,PRU,Financials,122.08,124.57,-2.0,67.5,1.3,2026-07-28,12.6,1.33,0.81,1.59,459.0,9.71,N,N,4
NEW_HIGH,RJF,Financials,175.98,178.28,-1.29,69.1,1.0,2026-07-28,15.3,2.73,,0.485,123.0,11.47,N,N,3
NEW_HIGH,TROW,Financials,111.75,122.0,-8.4,46.7,2.5,2026-07-28,11.2,2.23,5.54,0.039,436.0,9.96,N,N,5
